               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036786,             0.01594,            0.046403,             0.16383,             0.71485,              0.2262,             0.20829,            0.009183,            0.003486,            0.030305,            0.070025,           0.0033305,           0.0033305
                   1,            0.019205,           0.0088718,            0.041009,             0.23702,             0.75792,             0.39264,             0.32704,            0.012442,           0.0028146,            0.027494,            0.040003,           0.0066419,           0.0066419
                   2,             0.01574,           0.0072799,            0.037719,             0.72031,              0.4465,             0.45769,             0.43086,           0.0075959,           0.0036535,            0.025385,           0.0099591,           0.0099312,           0.0099312
                   3,            0.012132,           0.0061664,            0.035713,              0.4899,             0.81943,             0.63444,             0.56563,            0.007383,           0.0031094,            0.020642,            0.009901,            0.009901,            0.009901
                   4,           0.0098891,           0.0054062,            0.033909,              0.5232,             0.78079,             0.67626,              0.5979,           0.0083145,           0.0029409,            0.017237,            0.009901,            0.009901,            0.009901
                   5,           0.0087388,           0.0049201,            0.032515,             0.61285,             0.74996,             0.72473,             0.65289,           0.0067371,           0.0032018,             0.01624,            0.009868,            0.009868,            0.009868
                   6,           0.0081478,           0.0045894,            0.032003,             0.56965,             0.80019,              0.7252,             0.62898,           0.0076205,           0.0035974,            0.015335,            0.009835,            0.009835,            0.009835
                   7,           0.0076263,           0.0044221,            0.031301,             0.55665,              0.7855,             0.73542,             0.65632,           0.0069054,           0.0029504,            0.014979,            0.009802,            0.009802,            0.009802
                   8,           0.0073007,           0.0042672,            0.030877,             0.57224,             0.80348,             0.72493,             0.63092,           0.0069593,           0.0030872,            0.014306,            0.009769,            0.009769,            0.009769
                   9,             0.00699,           0.0041616,            0.030535,             0.61638,              0.8111,             0.79947,             0.69073,            0.006445,           0.0034686,            0.014704,            0.009736,            0.009736,            0.009736
                  10,           0.0067446,           0.0040762,            0.029996,             0.66651,             0.79369,             0.77496,             0.70381,           0.0072976,            0.002928,            0.014896,            0.009703,            0.009703,            0.009703
