               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022826,            0.012964,             0.03094,             0.20925,             0.76264,             0.25977,             0.25963,            0.011067,           0.0013661,            0.015467,            0.070025,           0.0033305,           0.0033305
                   1,            0.012675,           0.0060529,            0.028551,             0.38054,             0.63161,             0.35994,              0.3597,           0.0060766,          0.00095498,            0.015096,            0.040003,           0.0066419,           0.0066419
                   2,            0.010408,           0.0051481,            0.026721,             0.47144,             0.58478,              0.4684,             0.43963,            0.002495,          0.00091907,            0.011579,           0.0099591,           0.0099312,           0.0099312
                   3,           0.0082068,           0.0043461,            0.025355,             0.38782,              0.7313,             0.61246,             0.58369,           0.0023349,           0.0017742,           0.0099721,            0.009901,            0.009901,            0.009901
                   4,           0.0064997,            0.003775,            0.024215,             0.40881,             0.70146,             0.60966,             0.58751,           0.0024908,           0.0018054,           0.0097396,            0.009901,            0.009901,            0.009901
                   5,              0.0058,           0.0034207,            0.023442,              0.5081,             0.74816,             0.64079,             0.63641,           0.0014994,            0.002385,           0.0090245,            0.009868,            0.009868,            0.009868
                   6,           0.0055226,           0.0032254,            0.023082,             0.41785,             0.67699,             0.55272,               0.552,            0.001152,           0.0017144,            0.010155,            0.009835,            0.009835,            0.009835
                   7,           0.0050414,           0.0030876,            0.022697,             0.51011,             0.74955,             0.64774,             0.61587,            0.002469,           0.0035005,           0.0083794,            0.009802,            0.009802,            0.009802
                   8,           0.0048344,           0.0029201,             0.02229,              0.4784,             0.73397,                0.66,                0.66,          0.00092153,           0.0017191,           0.0095329,            0.009769,            0.009769,            0.009769
                   9,           0.0045725,            0.002853,            0.021797,             0.55922,             0.70571,             0.70061,             0.68949,           0.0015548,            0.002243,           0.0081093,            0.009736,            0.009736,            0.009736
                  10,            0.004444,           0.0027669,            0.021728,             0.55548,             0.69385,             0.65512,             0.65163,           0.0017845,           0.0016158,           0.0089179,            0.009703,            0.009703,            0.009703
                  11,           0.0043376,           0.0026987,            0.021604,             0.54621,             0.76505,             0.67892,             0.66251,           0.0019674,           0.0022139,           0.0078461,             0.00967,             0.00967,             0.00967
